district,price,surface,rooms_num,floor_no,building_floors_num,construction_status,market,build_year,transit_dur_m
13,946000.0,29.54,1.0,2.0,8.0,1,0,2026.0,30.466666666666665
14,843000.0,58.1,4.0,6.0,6.0,1,1,2022.0,23.6
10,1160000.0,75.8,3.0,1.0,3.0,0,1,1996.0,63.1
10,980000.0,46.0,2.0,6.0,7.0,2,1,2003.0,62.28333333333333
3,1890000.0,72.0,2.0,3.0,4.0,2,1,1928.0,54.416666666666664
12,950000.0,45.05,2.0,2.0,5.0,2,1,2018.0,63.38333333333333
10,649000.0,32.22,2.0,10.0,12.0,2,1,2003.0,59.13333333333333
1,1050000.0,70.8,3.0,3.0,4.0,2,1,1999.0,51.3
14,1200000.0,61.94,3.0,2.0,3.0,2,1,2000.0,47.88333333333333
13,990000.0,41.55,2.0,0.0,7.0,1,0,2026.0,36.583333333333336
3,818235.0,44.81,2.0,1.0,9.0,1,0,2025.0,35.95
9,800060.0,59.42,3.0,1.0,3.0,1,0,2024.0,57.333333333333336
15,1800000.0,72.57,2.0,1.0,4.0,2,1,1938.0,32.96666666666667
15,1480000.0,77.37,4.0,7.0,7.0,0,1,1957.0,32.55
3,690000.0,48.0,3.0,2.0,10.0,0,1,1970.0,55.35
10,1150000.0,72.21,3.0,0.0,10.0,2,1,1996.0,64.35
3,1575000.0,86.6,4.0,4.0,5.0,0,1,1991.0,35.11666666666667
4,800000.0,43.5,2.0,5.0,8.0,2,1,2001.0,46.78333333333333
13,1380000.0,62.8,3.0,3.0,9.0,2,1,2014.0,45.56666666666667
3,1330000.0,72.0,3.0,3.0,7.0,2,1,2018.0,56.88333333333333
13,900000.0,37.0,2.0,3.0,5.0,2,1,2023.0,36.583333333333336
16,1000000.0,45.31,2.0,0.0,4.0,2,1,2014.0,46.516666666666666
6,900000.0,47.04,2.0,10.0,17.0,2,1,2018.0,39.46666666666667
15,830000.0,43.72,2.0,2.0,8.0,2,1,1955.0,31.066666666666666
15,1900000.0,68.81,3.0,4.0,6.0,2,1,2018.0,35.516666666666666
2,790045.0,42.59,2.0,1.0,5.0,1,0,2025.0,53.2
0,570000.0,36.44,1.0,2.0,6.0,2,1,2002.0,49.43333333333333
10,970000.0,65.0,3.0,8.0,12.0,2,1,1985.0,58.31666666666667
1,1044693.0,89.29,4.0,0.0,1.0,1,0,2026.0,46.15
12,850000.0,38.44,2.0,3.0,4.0,2,1,2012.0,65.83333333333333
8,535000.0,44.59,3.0,3.0,3.0,1,0,1956.0,29.65
14,1200000.0,61.94,3.0,2.0,3.0,2,1,2000.0,47.88333333333333
3,1380000.0,50.51,2.0,0.0,2.0,1,0,2026.0,60.05
0,1430000.0,67.59,3.0,4.0,8.0,2,1,2017.0,51.63333333333333
2,564000.0,27.67,1.0,6.0,6.0,1,1,2025.0,64.18333333333334
13,1114000.0,34.2,2.0,4.0,6.0,2,1,2024.0,36.583333333333336
13,1048000.0,32.0,2.0,6.0,6.0,2,1,2024.0,36.583333333333336
1,452731.0,34.69,2.0,1.0,2.0,1,0,2025.0,74.8
6,921200.0,43.87,2.0,5.0,5.0,2,1,2023.0,44.5
0,965000.0,52.55,3.0,3.0,6.0,2,1,2024.0,37.2
2,655000.0,47.24,3.0,3.0,3.0,0,1,1968.0,35.11666666666667
3,1149000.0,65.46,3.0,1.0,10.0,2,1,2013.0,54.05
10,544835.5,36.4,1.0,0.0,1.0,0,1,1979.0,51.13333333333333
10,970000.0,65.0,3.0,8.0,12.0,2,1,1985.0,58.31666666666667
1,760625.0,60.85,3.0,2.0,2.0,2,0,2024.0,46.15
15,800000.0,35.51,1.0,1.0,3.0,2,1,1958.0,24.033333333333335
7,690000.0,30.0,2.0,3.0,7.0,2,1,1960.0,43.75
5,715000.0,56.6,3.0,5.0,5.0,2,1,1976.0,19.933333333333334
7,780000.0,55.55,2.0,3.0,3.0,2,1,1955.0,22.05
7,770000.0,55.2,3.0,5.0,15.0,0,1,1978.0,22.2
7,995000.0,30.59,1.0,6.0,6.0,2,1,2018.0,25.666666666666668
3,969804.0,61.38,3.0,1.0,5.0,1,0,2025.0,39.083333333333336
3,714923.0,37.2,2.0,0.0,7.0,1,0,2025.0,66.51666666666667
